хъупцӏ	χʷ ə p t͡sʼ
хъыен	χ ə j a n
къэцыгъуан	q a t͡s ə ʁʷ aː n
хъупцӏын	χʷ ə p t͡sʼ ə n
гъэгъун	ʁ a ʁʷ ə n
шъхьахын	ʂ ħ aː x ə n
кокӏ	kʷ a t͡ʃʼ
щыгъупшын	ɕ ə ʁʷ ə p ʃ ə n
купсэ	kʷ a p s a
зиӏ	z ə j ʔ
жъыпӏэ	ʐ ə pʼ a
игъолъхьан	t a ʁʷ a ɬ ħ aː n
фэбае	f a b aː j a
гъэделэн	ʁ a d a j l a n
дэгъэзын	d a ʁ a z ə n
ӏэтэчэн	ʔ a t a t͡ʃ a n
пэӏоӏожьын	p a ʔʷ a ʔʷ a ʑ ə n
псыуалъэ	p s ə ə w aː ɬ a
чъуакъо	t͡ʃʷ aː qʷ a
зэӏукӏапӏэ	z a ʔʷ ə t͡ʃʼ aː pʼ a
пцы	t͡s ə z a
зэгъэфэгъэн	z a ʁ a f a ʁ a n
тхыон	t x ə w a n
кӏэтыку	t͡ʃʼ a t ə kʷ
шӏагъо	ʃʼ aː ʁʷ a
онэгу	w a n a ɡʷ
гуӏэн	ɡʷ ə ʔ a n
бзэу	b z a w
дэлъын	d a ɬ ə n
кӏьэлъыун	kʲʼ a ɬ ə w ə n
нэзы	n a z ə
ежэн	j a ʒ a n
къаз	q aː z
щэн	ɕ a n
тыны	t ə n ə
блыгу	b l ə ɡʷ
лъэн	ɬ a n
бгъэджыб	b ʁ a d͡ʒ ə r
гьары	ɡʲ aː r ə
жэукъ	ʒ a w q
бэджэбы	b a d͡ʒ a b ə
бзэгохь	b z a ɡʷ a ħ
утэцэн	w ə t a t͡s a n
тыгъэгъэзэмаз	t ə ʁ a ʁ a z a m aː z
гъын	ʁ ə n
чӏэухъумэн	t͡ʂʼ a w χʷ ə m a n
батыргъэгъ	b aː t ə r ʁ a ʁ
апэрэ	aː p a r a
мэзэзэн	m a z a z a n
гъу	ʁʷ ə
псэушъхь	p s a w ʂ ħ
ку	kʷ ə
апӏэ	aː pʼ a
мэтазэ	m a t aː z a
гъэпсыкӏын	ʁ a p s ə t͡ʃʼ ə n
гъопэкӏьэхь	ʁʷ aː p a kʲʼ a ħ
тыгъэпсы	t ə ʁ a p s ə
бырыпх	p ə r ə p x
куу	kʷ ə w ə
гъозадж	ʁʷ a z aː d͡ʒ
гъэткӏун	ʁ a t kʷʼ ə n
иен	j a j ə n
шыгу	ʃ ə ɡʷ
къэгъэӏун	q a ʁ a ʔʷ ə n
егъэзыгъ	j a ʁ a t ə ʁ
псэи	p s a j ə
жъогъошӏу	ʐʷ a ʁʷ a ʃʷ
ӏэкӏэгъэхьан	ʔ ə t͡ʃʼ a ħ aː n
тепхэ	t a j p x a
